Recording timestamp	Computer timestamp	Sensor	Project name	Export date	Participant name	Recording name	Variable1	Recording date	Recording date UTC	Recording start time	Recording start time UTC	Recording duration	Recording Fixation filter name	Recording software version	Recording resolution height	Recording resolution width	Recording monitor latency	Average calibration accuracy (mm)	Average calibration precision SD (mm)	Average calibration precision RMS (mm)	Average calibration accuracy (degrees)	Average calibration precision SD (degrees)	Average calibration precision RMS (degrees)	Average calibration accuracy (pixels)	Average calibration precision SD (pixels)	Average calibration precision RMS (pixels)	Average validation accuracy (mm)	Average validation precision SD (mm)	Average validation precision RMS (mm)	Average validation accuracy (degrees)	Average validation precision SD (degrees)	Average validation precision RMS (degrees)	Average validation accuracy (pixels)	Average validation precision SD (pixels)	Average validation precision RMS (pixels)	Eyetracker timestamp	Event	Event value	Event parameters	Row number	Gaze point X	Gaze point Y	Gaze point left X	Gaze point left Y	Gaze point right X	Gaze point right Y	Gaze direction left X	Gaze direction left Y	Gaze direction left Z	Gaze direction right X	Gaze direction right Y	Gaze direction right Z	Pupil diameter left	Pupil diameter right	Pupil diameter filtered	Validity left	Validity right	Eye position left X (DACSmm)	Eye position left Y (DACSmm)	Eye position left Z (DACSmm)	Eye position right X (DACSmm)	Eye position right Y (DACSmm)	Eye position right Z (DACSmm)	Gaze point left X (DACSmm)	Gaze point left Y (DACSmm)	Gaze point right X (DACSmm)	Gaze point right Y (DACSmm)	Gaze point X (MCSnorm)	Gaze point Y (MCSnorm)	Gaze point left X (MCSnorm)	Gaze point left Y (MCSnorm)	Gaze point right X (MCSnorm)	Gaze point right Y (MCSnorm)	Stimulus template name	Eye movement type	Gaze event duration	Eye movement type index	Fixation point X	Fixation point Y	Fixation point X (MCSnorm)	Fixation point Y (MCSnorm)	Mouse position X	Mouse position Y
241227	75081534215	Eye Tracker	Project1	2024/01/29	wakita1	Recording1		2024/01/29	2024/01/29	12:02:16.317	03:02:16.317	48230	Tobii I-VT (Fixation)	1.232.52758	1080	1920	10.00	152.3	111.9	139.4	13.56	9.19	11.51	487	358	446	99.0	94.0	115.0	8.55	7.43	9.01	317	301	368	1606148819					1164	-83	1164	-83			0.16126	0.04577	-0.98585				3.688		3.697	Valid	Invalid	275.3	-56.0	540.7				363.8	-30.9									Calibration	Fixation	279	1	1148	-90				
248051	75081541039		Project1	2024/01/29	wakita1	Recording1		2024/01/29	2024/01/29	12:02:16.317	03:02:16.317	48230	Tobii I-VT (Fixation)	1.232.52758	1080	1920	10.00	152.3	111.9	139.4	13.56	9.19	11.51	487	358	446	99.0	94.0	115.0	8.55	7.43	9.01	317	301	368		ParticipantVideoStart																																						Fixation	279	1	1148	-90				
249563	75081542551	Eye Tracker	Project1	2024/01/29	wakita1	Recording1		2024/01/29	2024/01/29	12:02:16.317	03:02:16.317	48230	Tobii I-VT (Fixation)	1.232.52758	1080	1920	10.00	152.3	111.9	139.4	13.56	9.19	11.51	487	358	446	99.0	94.0	115.0	8.55	7.43	9.01	317	301	368	1606157155					1165	-80	1165	-80			0.16179	0.04803	-0.98566				3.697		3.695	Valid	Invalid	275.3	-55.9	540.7				364.1	-29.6									Calibration	Fixation	279	1	1148	-90				
257897	75081550885	Eye Tracker	Project1	2024/01/29	wakita1	Recording1		2024/01/29	2024/01/29	12:02:16.317	03:02:16.317	48230	Tobii I-VT (Fixation)	1.232.52758	1080	1920	10.00	152.3	111.9	139.4	13.56	9.19	11.51	487	358	446	99.0	94.0	115.0	8.55	7.43	9.01	317	301	368	1606165489					1163	-76	1163	-76			0.16078	0.05057	-0.98569				3.698		3.693	Valid	Invalid	275.3	-55.9	540.7				363.5	-28.2									Calibration	Fixation	279	1	1148	-90				
266229	75081559217	Eye Tracker	Project1	2024/01/29	wakita1	Recording1		2024/01/29	2024/01/29	12:02:16.317	03:02:16.317	48230	Tobii I-VT (Fixation)	1.232.52758	1080	1920	10.00	152.3	111.9	139.4	13.56	9.19	11.51	487	358	446	99.0	94.0	115.0	8.55	7.43	9.01	317	301	368	1606173822					1168	-76	1168	-76			0.16365	0.05039	-0.98523				3.693		3.693	Valid	Invalid	275.3	-55.9	540.6				365.2	-28.2									Calibration	Fixation	279	1	1148	-90				
274563	75081567551	Eye Tracker	Project1	2024/01/29	wakita1	Recording1		2024/01/29	2024/01/29	12:02:16.317	03:02:16.317	48230	Tobii I-VT (Fixation)	1.232.52758	1080	1920	10.00	152.3	111.9	139.4	13.56	9.19	11.51	487	358	446	99.0	94.0	115.0	8.55	7.43	9.01	317	301	368	1606182156					1159	-77	1159	-77			0.15827	0.04999	-0.98613				3.693		3.693	Valid	Invalid	275.4	-56.0	540.7				362.2	-28.6									Calibration	Fixation	279	1	1148	-90				
282896	75081575884	Eye Tracker	Project1	2024/01/29	wakita1	Recording1		2024/01/29	2024/01/29	12:02:16.317	03:02:16.317	48230	Tobii I-VT (Fixation)	1.232.52758	1080	1920	10.00	152.3	111.9	139.4	13.56	9.19	11.51	487	358	446	99.0	94.0	115.0	8.55	7.43	9.01	317	301	368	1606190489					1154	-70	1154	-70			0.15545	0.05486	-0.98632				3.686		3.693	Valid	Invalid	275.4	-56.1	540.8				360.6	-26.0									Calibration	Saccade	17	1						
291229	75081584217	Eye Tracker	Project1	2024/01/29	wakita1	Recording1		2024/01/29	2024/01/29	12:02:16.317	03:02:16.317	48230	Tobii I-VT (Fixation)	1.232.52758	1080	1920	10.00	152.3	111.9	139.4	13.56	9.19	11.51	487	358	446	99.0	94.0	115.0	8.55	7.43	9.01	317	301	368	1606198822					1143	-62	1143	-62			0.14938	0.06098	-0.98690				3.694		3.694	Valid	Invalid	275.4	-56.3	541.0				357.3	-22.8									Calibration	Saccade	17	1						
299562	75081592550	Eye Tracker	Project1	2024/01/29	wakita1	Recording1		2024/01/29	2024/01/29	12:02:16.317	03:02:16.317	48230	Tobii I-VT (Fixation)	1.232.52758	1080	1920	10.00	152.3	111.9	139.4	13.56	9.19	11.51	487	358	446	99.0	94.0	115.0	8.55	7.43	9.01	317	301	368	1606207155					1128	-68	1128	-68			0.14060	0.05728	-0.98841				3.701		3.701	Valid	Invalid	275.4	-56.5	541.2				352.4	-25.1									Calibration	Unclassified	25	1						
307895	75081600883	Eye Tracker	Project1	2024/01/29	wakita1	Recording1		2024/01/29	2024/01/29	12:02:16.317	03:02:16.317	48230	Tobii I-VT (Fixation)	1.232.52758	1080	1920	10.00	152.3	111.9	139.4	13.56	9.19	11.51	487	358	446	99.0	94.0	115.0	8.55	7.43	9.01	317	301	368	1606215488					1128	-65	1128	-65			0.14092	0.05928	-0.98824				3.704		3.701	Valid	Invalid	275.4	-56.5	541.3				352.6	-24.1									Calibration	Unclassified	25	1						
316229	75081609217	Eye Tracker	Project1	2024/01/29	wakita1	Recording1		2024/01/29	2024/01/29	12:02:16.317	03:02:16.317	48230	Tobii I-VT (Fixation)	1.232.52758	1080	1920	10.00	152.3	111.9	139.4	13.56	9.19	11.51	487	358	446	99.0	94.0	115.0	8.55	7.43	9.01	317	301	368	1606223822					1133	-67	1133	-67			0.14357	0.05792	-0.98794				3.706		3.704	Valid	Invalid	275.5	-56.4	541.1				354.1	-24.7									Calibration	Unclassified	25	1						
324561	75081617549	Eye Tracker	Project1	2024/01/29	wakita1	Recording1		2024/01/29	2024/01/29	12:02:16.317	03:02:16.317	48230	Tobii I-VT (Fixation)	1.232.52758	1080	1920	10.00	152.3	111.9	139.4	13.56	9.19	11.51	487	358	446	99.0	94.0	115.0	8.55	7.43	9.01	317	301	368	1606232155					1138	-68	1138	-68			0.14641	0.05693	-0.98758				3.699		3.704	Valid	Invalid	275.5	-56.2	540.9				355.7	-25.0									Calibration	Saccade	17	2						
