Time,LF,HF,VLF,ULF,LF/HF,LF/(LF+HF),LFnorm,HFnorm,TotalPower
2024/01/28 14:40:51.802,212.9769,362.2308,0,0,0.5879589,0,0,0,0
2024/01/28 14:40:52.579,199.7917,362.6065,0,0,0.5509876,0,0,0,0
2024/01/28 14:40:53.299,189.0324,362.8179,0,0,0.5210119,0,0,0,0
2024/01/28 14:40:54.002,177.5963,362.8979,0,0,0.4893836,0,0,0,0
2024/01/28 14:40:54.730,167.6367,362.8767,0,0,0.461966,0,0,0,0
2024/01/28 14:40:55.509,159.3019,362.7383,0,0,0.4391649,0,0,0,0
2024/01/28 14:40:56.304,151.3645,362.434,0,0,0.4176334,0,0,0,0
2024/01/28 14:40:57.089,145.221,362.0095,0,0,0.4011524,0,0,0,0
2024/01/28 14:40:57.843,141.5695,361.5931,0,0,0.3915159,0,0,0,0
2024/01/28 14:40:58.549,139.383,361.1802,0,0,0.3859099,0,0,0,0
2024/01/28 14:40:59.270,138.439,360.6954,0,0,0.3838113,0,0,0,0
2024/01/28 14:41:00.011,139.2134,360.2236,0,0,0.3864639,0,0,0,0
2024/01/28 14:41:00.770,141.893,359.8605,0,0,0.3943,0,0,0,0
2024/01/28 14:41:01.550,145.9074,359.6644,0,0,0.4056766,0,0,0,0
2024/01/28 14:41:02.291,151.3478,359.6543,0,0,0.4208147,0,0,0,0
2024/01/28 14:41:03.040,157.8957,359.9379,0,0,0.4386749,0,0,0,0
2024/01/28 14:41:03.796,165.7232,360.581,0,0,0.4596005,0,0,0,0
2024/01/28 14:41:04.541,174.7442,361.6421,0,0,0.4831964,0,0,0,0
2024/01/28 14:41:05.256,184.5068,363.2286,0,0,0.5079633,0,0,0,0
2024/01/28 14:41:05.942,193.6774,365.0587,0,0,0.5305376,0,0,0,0
2024/01/28 14:41:06.643,204.1622,367.6668,0,0,0.5552914,0,0,0,0
2024/01/28 14:41:07.380,214.5619,370.7952,0,0,0.5786534,0,0,0,0
2024/01/28 14:41:08.145,225.3789,374.6981,0,0,0.6014947,0,0,0,0
2024/01/28 14:41:08.948,238.0631,380.171,0,0,0.6262002,0,0,0,0
2024/01/28 14:41:09.687,249.5179,386.1223,0,0,0.6462147,0,0,0,0
2024/01/28 14:41:10.408,259.2559,392.0555,0,0,0.6612734,0,0,0,0
2024/01/28 14:41:11.149,268.3734,398.5658,0,0,0.6733478,0,0,0,0
2024/01/28 14:41:11.906,278.5057,407.1555,0,0,0.6840277,0,0,0,0
2024/01/28 14:41:12.674,286.5188,415.445,0,0,0.6896673,0,0,0,0
2024/01/28 14:41:13.429,293.9513,424.9152,0,0,0.6917881,0,0,0,0
2024/01/28 14:41:14.132,300.049,434.5677,0,0,0.6904538,0,0,0,0
2024/01/28 14:41:14.837,304.6735,443.8652,0,0,0.6864101,0,0,0,0
2024/01/28 14:41:15.557,308.8788,454.9119,0,0,0.678986,0,0,0,0
2024/01/28 14:41:16.295,311.9125,466.4802,0,0,0.6686511,0,0,0,0
2024/01/28 14:41:17.036,313.7068,478.0734,0,0,0.6561896,0,0,0,0
2024/01/28 14:41:17.741,314.349,487.6994,0,0,0.6445548,0,0,0,0
2024/01/28 14:41:18.433,314.086,499.0416,0,0,0.6293785,0,0,0,0
2024/01/28 14:41:19.154,312.6736,510.6851,0,0,0.6122629,0,0,0,0
2024/01/28 14:41:19.909,310.4882,520.9178,0,0,0.5960406,0,0,0,0
2024/01/28 14:41:20.692,307.0233,532.3287,0,0,0.5767551,0,0,0,0
2024/01/28 14:41:21.437,302.7909,542.8421,0,0,0.5577881,0,0,0,0
2024/01/28 14:41:22.162,297.8502,552.5366,0,0,0.5390596,0,0,0,0
2024/01/28 14:41:22.848,292.5283,561.1321,0,0,0.5213181,0,0,0,0
2024/01/28 14:41:23.544,286.9929,568.6851,0,0,0.5046605,0,0,0,0
2024/01/28 14:41:24.245,280.9275,575.7451,0,0,0.4879373,0,0,0,0
2024/01/28 14:41:24.919,274.435,582.1709,0,0,0.4713994,0,0,0,0
2024/01/28 14:41:25.597,268.071,587.5202,0,0,0.4562754,0,0,0,0
2024/01/28 14:41:26.317,260.7531,592.6766,0,0,0.4399584,0,0,0,0
2024/01/28 14:41:27.060,252.9608,597.0464,0,0,0.4236869,0,0,0,0
2024/01/28 14:41:27.836,245.1185,600.3744,0,0,0.4082761,0,0,0,0
2024/01/28 14:41:28.612,238.2396,602.4315,0,0,0.3954633,0,0,0,0
2024/01/28 14:41:29.333,230.807,603.7372,0,0,0.3822972,0,0,0,0
2024/01/28 14:41:30.059,224.1671,604.0776,0,0,0.3710898,0,0,0,0
2024/01/28 14:41:30.819,217.6073,603.5122,0,0,0.3605682,0,0,0,0
2024/01/28 14:41:31.595,211.5164,602.0156,0,0,0.351347,0,0,0,0
2024/01/28 14:41:32.379,206.0732,599.5394,0,0,0.3437192,0,0,0,0
2024/01/28 14:41:33.139,201.7869,596.3864,0,0,0.3383493,0,0,0,0
2024/01/28 14:41:33.898,198.5806,592.6941,0,0,0.3350474,0,0,0,0
2024/01/28 14:41:34.698,196.0262,587.6911,0,0,0.3335531,0,0,0,0
2024/01/28 14:41:35.500,194.9307,582.6921,0,0,0.3345347,0,0,0,0
2024/01/28 14:41:36.262,194.9518,577.0927,0,0,0.3378171,0,0,0,0
2024/01/28 14:41:37.004,196.1691,571.2189,0,0,0.3434219,0,0,0,0
2024/01/28 14:41:37.805,198.8605,564.3172,0,0,0.3523913,0,0,0,0
2024/01/28 14:41:38.618,203.1822,556.8322,0,0,0.3648895,0,0,0,0
2024/01/28 14:41:39.403,208.2359,549.8838,0,0,0.3786906,0,0,0,0
2024/01/28 14:41:40.139,213.6712,543.4999,0,0,0.3931394,0,0,0,0
2024/01/28 14:41:40.859,220.5401,536.4505,0,0,0.4111098,0,0,0,0
2024/01/28 14:41:41.598,227.9538,529.5908,0,0,0.4304339,0,0,0,0
2024/01/28 14:41:42.325,235.9109,522.981,0,0,0.4510888,0,0,0,0
2024/01/28 14:41:43.027,244.4924,516.4497,0,0,0.4734099,0,0,0,0
2024/01/28 14:41:43.742,253.6908,509.9733,0,0,0.4974589,0,0,0,0
2024/01/28 14:41:44.501,262.3373,504.4544,0,0,0.5200417,0,0,0,0
2024/01/28 14:41:45.293,273.2988,498.0035,0,0,0.5487888,0,0,0,0
2024/01/28 14:41:46.111,284.3181,492.1992,0,0,0.5776485,0,0,0,0
2024/01/28 14:41:46.859,294.6268,487.3674,0,0,0.6045271,0,0,0,0
2024/01/28 14:41:47.578,303.7808,483.5796,0,0,0.6281918,0,0,0,0
2024/01/28 14:41:48.332,314.6772,479.6737,0,0,0.6560235,0,0,0,0
2024/01/28 14:41:49.100,323.9497,476.924,0,0,0.679248,0,0,0,0
2024/01/28 14:41:49.848,333.414,474.7529,0,0,0.7022895,0,0,0,0
2024/01/28 14:41:50.567,342.6546,473.1781,0,0,0.7241556,0,0,0,0
2024/01/28 14:41:51.267,350.4083,472.3745,0,0,0.7418019,0,0,0,0
2024/01/28 14:41:52.000,358.1182,472.0659,0,0,0.758619,0,0,0,0
2024/01/28 14:41:52.741,366.3915,472.3135,0,0,0.7757379,0,0,0,0
2024/01/28 14:41:53.485,373.4802,473.1001,0,0,0.7894315,0,0,0,0
2024/01/28 14:41:54.240,380.7017,474.5967,0,0,0.8021583,0,0,0,0
2024/01/28 14:41:54.945,386.7659,476.4556,0,0,0.8117565,0,0,0,0
2024/01/28 14:41:55.659,391.9872,478.6508,0,0,0.8189419,0,0,0,0
2024/01/28 14:41:56.399,396.8261,481.297,0,0,0.8244933,0,0,0,0
2024/01/28 14:41:57.144,401.5817,484.7261,0,0,0.8284714,0,0,0,0
2024/01/28 14:41:57.915,405.4402,488.3557,0,0,0.830215,0,0,0,0
2024/01/28 14:41:58.661,408.7604,492.5843,0,0,0.8298283,0,0,0,0
2024/01/28 14:41:59.378,411.0677,496.6109,0,0,0.8277461,0,0,0,0
2024/01/28 14:42:00.117,412.7759,500.8304,0,0,0.824183,0,0,0,0
2024/01/28 14:42:00.858,413.7609,504.6911,0,0,0.8198299,0,0,0,0
2024/01/28 14:42:01.612,414.2201,509.1803,0,0,0.8135036,0,0,0,0
2024/01/28 14:42:02.333,413.9904,513.3177,0,0,0.8064993,0,0,0,0
2024/01/28 14:42:03.015,413.1876,517.0083,0,0,0.7991894,0,0,0,0
2024/01/28 14:42:03.733,411.9638,520.1682,0,0,0.7919818,0,0,0,0
2024/01/28 14:42:04.460,409.9785,523.4621,0,0,0.7832057,0,0,0,0
2024/01/28 14:42:05.215,407.5384,526.2105,0,0,0.7744778,0,0,0,0
2024/01/28 14:42:05.952,404.3399,528.5045,0,0,0.7650644,0,0,0,0
2024/01/28 14:42:06.652,400.9675,529.8659,0,0,0.756734,0,0,0,0
2024/01/28 14:42:07.355,397.0287,530.5677,0,0,0.7483092,0,0,0,0
2024/01/28 14:42:08.091,392.3118,530.5695,0,0,0.7394164,0,0,0,0
