Time,RRI,HR
12697.5,927.135922330097,64.7154301272318
12698,927.046026609133,64.7217055872217
12698.5,926.95613088817,64.7279822643932
12699,926.866235167206,64.7342601591006
12699.5,926.776339446242,64.740539271698
12700,926.686443725279,64.74681960254
12700.5,926.596548004315,64.7531011519812
12701,926.506652283351,64.7593839203761
12701.5,926.416756562388,64.7656679080798
12702,926.326860841424,64.7719531154471
12702.5,926.23696512046,64.7782395428332
12703,926.147069399497,64.7845271905933
12703.5,926.057173678533,64.7908160590829
12704,925.967277957569,64.7971061486574
12704.5,925.877382236606,64.8033974596726
12705,925.787486515642,64.8096899924843
12705.5,925.697590794678,64.8159837474484
12706,925.607695073715,64.822278724921
12706.5,925.517799352751,64.8285749252583
12707,925.427903631787,64.8348723488167
12707.5,925.338007910824,64.8411709959528
12708,925.24811218986,64.847470867023
12708.5,925.158216468896,64.8537719623843
12709,925.068320747933,64.8600742823936
12709.5,924.893181818183,64.8723562671856
12710,924.448106060607,64.9035890783321
12710.5,924.003030303031,64.9348519780533
12711,923.557954545455,64.9661450098494
12711.5,923.11287878788,64.9974682173049
12712,922.667803030304,65.0288216440878
12712.5,922.222727272728,65.060205333951
12713,921.777651515152,65.0916193307315
12713.5,921.332575757577,65.1230636783512
12714,920.887500000001,65.1545384208168
12714.5,920.442424242425,65.1860436022202
12715,919.997348484849,65.2175792667386
12715.5,919.552272727273,65.2491454586347
12716,919.107196969698,65.280742222257
12716.5,918.662121212122,65.3123696020398
12717,918.217045454546,65.3440276425038
12717.5,917.771969696971,65.3757163882558
12718,917.326893939395,65.4074358839893
12718.5,916.881818181819,65.4391861744846
12719,916.436742424243,65.470967304609
12719.5,915.991666666667,65.5027793193169
12720,915.546590909092,65.5346222636502
12720.5,915.101515151516,65.5664961827384
12721,914.65643939394,65.5984011217989
12721.5,914.211363636364,65.630337126137
12722,913.766287878789,65.6623042411464
12722.5,913.321212121213,65.6943025123093
12723,912.876136363637,65.7263319851966
12723.5,912.431060606061,65.7583927054679
